symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-01-16 00:00:00+00:00,176.19,179.39,176.14,177.9,29159005,41.8299415683,42.5896658036,41.8180708771,42.2359192065,116636020,0.0,1.0
AAPL,2018-01-17 00:00:00+00:00,179.1,179.25,175.07,176.15,32752734,42.5208157947,42.5564278683,41.5640380859,41.8204450153,131010936,0.0,1.0
AAPL,2018-01-18 00:00:00+00:00,179.26,180.1,178.25,179.37,30234512,42.5588020065,42.7582296183,42.3190140447,42.5849175271,120938048,0.0,1.0
AAPL,2018-01-19 00:00:00+00:00,178.46,179.58,177.41,178.61,30827809,42.3688709477,42.63477443,42.119586433,42.4044830212,123311236,0.0,1.0
AAPL,2018-01-22 00:00:00+00:00,177.0,177.78,176.6,177.3,26023683,42.0222467653,42.2074295477,41.9272812359,42.0934709124,104094732,0.0,1.0
AAPL,2018-01-23 00:00:00+00:00,177.04,179.44,176.82,177.3,31702531,42.0317433183,42.6015364947,41.9795122771,42.0934709124,126810124,0.0,1.0
AAPL,2018-01-24 00:00:00+00:00,174.22,177.3,173.2,177.25,50562257,41.3622363359,42.0934709124,41.1200742359,42.0816002212,202249028,0.0,1.0
AAPL,2018-01-25 00:00:00+00:00,171.11,174.95,170.53,174.51,39661804,40.6238793447,41.5355484271,40.4861793271,41.4310863447,158647216,0.0,1.0
AAPL,2018-01-26 00:00:00+00:00,171.51,172.0,170.06,172.0,37121805,40.7188448741,40.8351776477,40.37459483,40.8351776477,148487220,0.0,1.0
AAPL,2018-01-29 00:00:00+00:00,167.96,170.16,167.07,170.16,48434424,39.8760258006,40.3983362124,39.6647274976,40.3983362124,193737696,0.0,1.0
AAPL,2018-01-30 00:00:00+00:00,166.97,167.37,164.7,165.53,45137026,39.6409861153,39.7359516447,39.1020567359,39.2991102094,180548104,0.0,1.0
AAPL,2018-01-31 00:00:00+00:00,167.43,168.44,166.5,166.87,30984099,39.7501964741,39.9899844359,39.5294016182,39.6172447329,123936396,0.0,1.0
AAPL,2018-02-01 00:00:00+00:00,167.78,168.62,166.76,167.17,38099665,39.8332913123,40.0327189241,39.5911292123,39.68846888,152398660,0.0,1.0
AAPL,2018-02-02 00:00:00+00:00,160.5,166.8,160.1,166.0,85436075,38.104918677,39.6006257653,38.0099531476,39.4106947065,341744300,0.0,1.0
